prediction,label,fname
0.9999028444290161,1.0,100
0.9997015595436096,1.0,100
0.9999243021011353,1.0,100
0.9999271631240845,1.0,100
0.9999227523803711,1.0,100
0.9999107122421265,1.0,100
0.9997681975364685,1.0,100
0.004937814548611641,0.0,100
0.9999227523803711,1.0,100
0.999931812286377,1.0,100
0.12197002023458481,0.0,100
0.021423036232590675,0.0,100
0.9969562292098999,1.0,100
0.004063165746629238,0.0,100
0.999914288520813,1.0,100
0.9998681545257568,1.0,100
0.9999099969863892,1.0,100
0.9999295473098755,1.0,100
0.9999165534973145,1.0,100
0.004805000498890877,0.0,100
0.9967612624168396,1.0,100
0.007179043255746365,0.0,100
0.0046201362274587154,0.0,100
0.11977497488260269,0.0,100
0.004445141181349754,0.0,100
0.9996529817581177,1.0,100
0.9999116659164429,1.0,100
0.007920930162072182,0.0,100
0.12485212087631226,0.0,100
0.9999246597290039,1.0,100
0.9887218475341797,1.0,100
0.9997150301933289,1.0,100
0.9999253749847412,1.0,100
0.0075808060355484486,0.0,100
0.004438962787389755,0.0,100
0.9999240636825562,1.0,100
0.9999265670776367,1.0,100
0.9999234676361084,1.0,100
0.9998950958251953,1.0,100
0.9998805522918701,1.0,100
0.9999188184738159,1.0,100
0.9999297857284546,1.0,100
0.9999191761016846,1.0,100
0.9998995065689087,1.0,100
0.9999324083328247,1.0,100
0.009357494302093983,0.0,100
0.9999179840087891,1.0,100
0.999916672706604,1.0,100
0.9996416568756104,1.0,100
0.9999173879623413,1.0,100
0.9997537732124329,1.0,100
0.9998748302459717,1.0,100
0.9999104738235474,1.0,100
0.999890923500061,1.0,100
0.9999207258224487,1.0,100
0.9999302625656128,1.0,100
0.004232202190905809,0.0,100
0.004687654320150614,0.0,100
0.9998949766159058,1.0,100
0.999897837638855,1.0,100
0.004358649719506502,0.0,100
0.9999315738677979,1.0,100
0.004329696763306856,0.0,100
0.9970366954803467,1.0,100
0.009876158088445663,0.0,100
0.9999207258224487,1.0,100
0.9999184608459473,1.0,100
0.99992835521698,1.0,100
0.9989013671875,1.0,100
0.999900221824646,1.0,100
0.9999206066131592,1.0,100
0.9994513392448425,1.0,100
0.009397094137966633,0.0,100
0.18960882723331451,1.0,100
0.999932050704956,1.0,100
0.9999278783798218,1.0,100
0.9999313354492188,1.0,100
0.01402767188847065,0.0,100
0.024683084338903427,0.0,100
0.9999319314956665,1.0,100
0.9999152421951294,1.0,100
0.9999321699142456,1.0,100
0.004991463851183653,0.0,100
0.9999151229858398,1.0,100
0.9996240139007568,1.0,100
0.7329124808311462,1.0,100
0.9999127388000488,1.0,100
0.9998806715011597,1.0,100
0.9999196529388428,1.0,100
0.9999301433563232,1.0,100
0.9999284744262695,1.0,100
0.009195204824209213,0.0,100
0.9999340772628784,1.0,100
0.06865062564611435,1.0,100
0.0059327734634280205,0.0,100
0.9999264478683472,1.0,100
0.010369595140218735,0.0,100
0.9999334812164307,1.0,100
0.005440268199890852,0.0,100
0.9999294281005859,1.0,100
0.0056969840079545975,0.0,100
0.9998977184295654,1.0,100
0.999922513961792,1.0,100
0.00729184877127409,0.0,100
0.998684823513031,1.0,100
0.9999279975891113,1.0,100
0.9999297857284546,1.0,100
0.9999265670776367,1.0,100
0.9999319314956665,1.0,100
0.9999339580535889,1.0,100
0.9999104738235474,1.0,100
0.007576559670269489,0.0,100
0.934230625629425,1.0,100
0.13797375559806824,0.0,100
0.9989244341850281,1.0,100
0.0065372358076274395,0.0,100
0.9999336004257202,1.0,100
0.015859272330999374,0.0,100
0.0038443966768682003,0.0,100
0.006836320739239454,0.0,100
0.9999245405197144,1.0,100
0.9998805522918701,1.0,100
0.007230018265545368,0.0,100
0.9999010562896729,1.0,100
0.9999319314956665,1.0,100
0.9999333620071411,1.0,100
0.00790075957775116,0.0,100
0.9996340274810791,1.0,100
0.9999268054962158,1.0,100
0.0038674981333315372,0.0,100
0.9999077320098877,1.0,100
0.023896725848317146,0.0,100
0.009840499609708786,1.0,100
0.9999179840087891,1.0,100
0.999923586845398,1.0,100
0.9999285936355591,1.0,100
0.9999266862869263,1.0,100
0.9993177652359009,1.0,100
0.9999315738677979,1.0,100
0.9999250173568726,1.0,100
0.9999144077301025,1.0,100
0.02184530720114708,0.0,100
