prediction,label,fname
0.7860271334648132,1.0,50
0.9998873472213745,1.0,200
0.00033971929224208,0.0,150
0.7404510378837585,0.0,50
0.9991000890731812,1.0,150
0.005986512638628483,0.0,100
0.9999364614486694,1.0,300
9.844378655543551e-05,0.0,150
0.01415360439568758,0.0,50
8.242568583227694e-05,0.0,250
0.7845436930656433,1.0,50
0.9994493126869202,1.0,150
9.574266005074605e-05,0.0,150
0.5626460313796997,1.0,50
0.00043034227564930916,0.0,250
5.070203042123467e-05,0.0,300
0.0002372994931647554,0.0,250
0.9997920393943787,1.0,150
0.9995428323745728,1.0,100
8.75294572324492e-05,0.0,250
0.005521385930478573,0.0,200
0.09340169280767441,0.0,150
3.441924854996614e-05,0.0,300
0.9627025723457336,1.0,150
0.03932805359363556,0.0,100
8.61128355609253e-05,0.0,250
9.421190043212846e-05,0.0,250
0.0008477341616526246,0.0,300
0.0026815913151949644,0.0,150
0.7575403451919556,1.0,50
0.9993107318878174,1.0,200
0.7437297105789185,1.0,50
0.9994254112243652,1.0,100
0.003209151327610016,0.0,200
0.0005113973165862262,0.0,300
0.0052868677303195,0.0,100
0.9999475479125977,1.0,300
0.9999595880508423,1.0,200
0.9999189376831055,1.0,300
0.9997914433479309,1.0,250
0.042834021151065826,0.0,50
0.9998587369918823,1.0,150
0.9999527931213379,1.0,300
0.9994580149650574,1.0,250
0.00021751289023086429,0.0,250
0.6666458249092102,0.0,50
0.9999339580535889,1.0,200
0.999811589717865,1.0,300
0.009414104744791985,0.0,100
0.9998663663864136,1.0,300
0.016341637820005417,0.0,200
0.9999066591262817,1.0,250
0.999946117401123,1.0,200
0.9999531507492065,1.0,250
0.0001282612356590107,0.0,250
7.839070894988254e-05,0.0,250
0.9990620017051697,1.0,150
0.9996989965438843,1.0,200
9.970862447516993e-05,0.0,250
0.00022240681573748589,0.0,300
0.9999518394470215,1.0,250
0.9997228980064392,1.0,100
0.9995373487472534,1.0,100
0.7665824890136719,1.0,50
0.9999622106552124,1.0,200
0.9998701810836792,1.0,150
0.9998701810836792,1.0,250
0.00015506618365179747,0.0,150
0.19827397167682648,0.0,150
0.9999313354492188,1.0,300
0.00043624869431369007,0.0,250
0.0032694300170987844,0.0,150
0.9996508359909058,1.0,150
4.7374847781611606e-05,0.0,250
0.9983218312263489,1.0,100
0.9999521970748901,1.0,250
0.9998832941055298,1.0,200
0.0005119355046190321,0.0,300
0.8281639814376831,0.0,50
0.9998880624771118,1.0,300
0.999666690826416,1.0,200
6.059069710317999e-05,0.0,300
0.9996315240859985,1.0,250
0.9999303817749023,1.0,300
0.010618802160024643,0.0,100
0.9997735619544983,1.0,300
4.546593117993325e-05,0.0,300
0.02944447658956051,0.0,50
0.0003208306443411857,0.0,250
0.9991676807403564,1.0,150
0.013082705438137054,0.0,250
0.7960337996482849,1.0,50
0.00019017128215637058,0.0,200
0.9999234676361084,1.0,300
0.0009109075181186199,0.0,200
0.9927761554718018,1.0,150
0.9997310042381287,1.0,100
0.9950449466705322,1.0,100
0.044746339321136475,0.0,100
0.0014462899416685104,0.0,250
0.6947857141494751,0.0,50
0.00020546656742226332,0.0,250
0.012606548145413399,0.0,50
0.9935919642448425,1.0,100
0.23168013989925385,1.0,50
6.252712046261877e-05,0.0,150
0.06141124293208122,0.0,150
0.2641836106777191,1.0,50
0.8210480809211731,1.0,50
0.9999290704727173,1.0,200
0.9987756609916687,1.0,150
0.00017308752285316586,0.0,200
0.3292713165283203,0.0,100
0.00041401840280741453,0.0,100
0.9981885552406311,1.0,100
6.960237078601494e-05,0.0,300
0.0006972635164856911,0.0,250
0.012676319107413292,0.0,250
8.486022124998271e-05,0.0,300
0.9984277486801147,1.0,100
0.4839724898338318,1.0,50
0.9999443292617798,1.0,250
0.0022654621861875057,0.0,200
0.051354020833969116,0.0,150
0.9963345527648926,1.0,100
0.12903915345668793,0.0,150
0.8105456829071045,1.0,50
0.21391499042510986,0.0,150
0.0008022571564652026,0.0,100
0.9964789748191833,1.0,200
0.9998164772987366,0.0,100
0.9999377727508545,1.0,300
0.9995755553245544,1.0,150
0.9998607635498047,1.0,200
0.9998893737792969,1.0,250
0.9955276846885681,1.0,100
0.9999462366104126,1.0,250
0.024913597851991653,0.0,150
0.9998902082443237,1.0,300
0.9999176263809204,1.0,150
0.9977019429206848,1.0,100
0.9994705319404602,1.0,150
0.0001704412279650569,0.0,300
0.8298046588897705,1.0,50
0.07890304177999496,0.0,200
0.004567871801555157,0.0,100
0.9676051139831543,1.0,150
0.0002236894069937989,0.0,300
0.7806139588356018,1.0,250
0.00013644581486005336,0.0,300
0.023086627945303917,0.0,150
0.9978151321411133,1.0,300
9.344841964775696e-05,0.0,300
0.9996161460876465,1.0,100
0.08361609280109406,0.0,150
0.5093140602111816,0.0,50
0.0001097536223824136,0.0,250
0.9996449947357178,1.0,250
0.0007775023113936186,0.0,100
0.7958874106407166,1.0,50
0.9999610185623169,1.0,300
6.14337477600202e-05,0.0,300
0.9983276724815369,1.0,100
0.06043276935815811,0.0,150
0.9890998005867004,1.0,100
0.6573247909545898,1.0,100
0.9993690848350525,1.0,200
0.002906853798776865,0.0,200
0.8247311115264893,1.0,150
0.9999343156814575,1.0,250
0.9999456405639648,1.0,200
0.9997618794441223,1.0,300
7.835221913410351e-05,0.0,250
0.020276356488466263,0.0,150
0.9957557916641235,1.0,250
0.00034008792135864496,0.0,150
0.9987737536430359,1.0,150
9.742224210640416e-05,0.0,200
0.6736377477645874,0.0,50
0.9991899132728577,1.0,200
