loss,val_loss
1438.8177687680138,1439.5139947180405
1438.814086764832,1439.5170653915657
1438.8131519376968,1439.5290945163529
1438.8153458624924,1439.5127728970394
1438.8134810684915,1439.5123790356251
1438.8133328793206,1439.5120510780298
1438.8136505185773,1439.5105545532083
1438.8133315315931,1439.5129489109813
1438.8130742520784,1439.51183784451
1438.8130822256483,1439.5127525880516
1438.8129503549499,1439.5152068559821
1438.8131428152444,1439.5134632344045
1438.8128970640907,1439.5117372919567
1438.8130211298308,1439.5143324977516
1438.8128499432423,1439.5138714138586
1438.8129078455233,1439.5133897923831
1438.812784205769,1439.5152317199086
1438.8127964725315,1439.514002708006
1438.81283108436,1439.5133798970085
1438.8127073380124,1439.5130933191456
1438.8126528858675,1439.5130394080757
1438.8125585918428,1439.513014306058
1438.8123879603152,1439.5129678253375
1438.8126315807647,1439.5114935779968
1438.8127601412552,1439.512849803256
1438.8123164861818,1439.5150077281871
1438.8128817185252,1439.5134029945818
1438.8125478472336,1439.5137375163079
1438.8126426932179,1439.5133181418125
1438.812602811802,1439.5138519866905
1438.812794133292,1439.5131470375718
1438.8125546176555,1439.5131550743415
1438.8125675359938,1439.5137737373948
1438.8122144550307,1439.5145387730352
1438.8129297436728,1439.5127407784496
1438.8126584294967,1439.5126604161778
1438.8124310170501,1439.513138868529
1438.812548950378,1439.513838492813
1438.8125271654112,1439.5133052821668
1438.8124747617965,1439.5135529249728
1438.8125398945947,1439.513269491815
1438.8124098906364,1439.5131860045096
1438.8124068649358,1439.5121605735922
1438.8125571041874,1439.5129772201096
1438.8126181608561,1439.5134367553915
1438.812559162408,1439.513165330584
1438.8124060300192,1439.512974916525
1438.812374647,1439.5130597516581
1438.8124498519005,1439.513256257735
1438.812367492067,1439.513781012408
1438.8124718054785,1439.5123740112874
1438.8125306271754,1439.514020764962
1438.8123939027973,1439.5141353445547
1438.8124910748422,1439.5134958732679
1438.8125058490675,1439.5127809616206
1438.8125511764345,1439.5131145526875
1438.8124363986574,1439.5121867100522
1438.8125790031122,1439.5133982151185
1438.8125158545006,1439.5136642465804
1438.8123127604538,1439.513075285931
1438.8123061970168,1439.512192011824
1438.8124287770393,1439.5128214615681
1438.8123577703661,1439.5132593773421
1438.8123617457165,1439.513133715988
1438.8123161892709,1439.51353912585
1438.812352528687,1439.5136898444523
