loss,val_loss
1438.8123224015312,1439.5130997252272
1438.813889377599,1439.516909653374
1438.8141445093545,1439.5286867581372
1438.8146529270566,1439.5130701299986
1438.8132885275736,1439.5127172413231
1438.8131725850217,1439.5122629806801
1438.8135140155257,1439.5111105677142
1438.8132084786837,1439.5129835929533
1438.8129971800502,1439.5115911906985
1438.8130497840602,1439.5128037898996
1438.8129306313047,1439.5151251825123
1438.8131017012217,1439.5133969819276
1438.812888526933,1439.5117954120203
1438.8129863788495,1439.5141705888564
1438.812807485756,1439.5137007383182
1438.8128950229252,1439.513334748514
1438.8127543324993,1439.5153155389137
1438.8128024239286,1439.5139433947727
1438.8128079846128,1439.513297304411
1438.812688261292,1439.5130307662419
1438.8126724447775,1439.513055869616
1438.8125531455044,1439.5130391448863
1438.812398716553,1439.5129967205366
1438.812668612456,1439.5115905856344
1438.8127106594611,1439.5126790022257
1438.8123121449255,1439.5152661895654
1438.8128576857955,1439.5133192827516
1438.8125107360818,1439.5135243262007
1438.8126024113985,1439.5132827367481
1438.812563407149,1439.5138003819186
1438.8127667333754,1439.5130696985852
1438.8125177363577,1439.5131413796803
1438.8125331567326,1439.5137936719484
1438.8122053275395,1439.5145571393064
1438.8129105952441,1439.5126415520178
1438.8126259910096,1439.5126689582983
1438.81239951077,1439.5130707343842
1438.8125112570326,1439.5136953388678
1438.8124504488233,1439.513300671606
1438.8124646017063,1439.5135306576667
1438.8125175793746,1439.5133194821785
1438.8123972060282,1439.5132415476244
1438.812384322575,1439.5120911899767
1438.8125471181352,1439.5128916747726
1438.8125746238698,1439.5134706308374
1438.8125160572217,1439.51319877326
1438.812380899572,1439.5130082513479
1438.812341658879,1439.5130780969012
1438.8124271029424,1439.513270834216
1438.8123626546671,1439.5137102294123
1438.8124450486105,1439.5123442627578
1438.812509830232,1439.5139661009537
1438.8123914891364,1439.5142467190715
1438.812501154309,1439.5135754168039
1438.8125037579,1439.512796274082
1438.8125241544399,1439.513139734069
1438.8128958690825,1439.511794650942
1438.8125454874507,1439.513459696272
1438.8125229904406,1439.5135872928815
