loss,val_loss,acc,val_acc
0.45497787636602605,0.3371362906303439,0.7619758263815977,0.8394429715231964
0.21453171231304508,0.17910128160221103,0.9049951831946341,0.9206102298050752
0.17669479461535037,0.15288089516204223,0.9230780845925647,0.9331283966493733
0.13730598242572795,0.10169605040184092,0.9402253077067879,0.9552809364843082
0.10138705462584356,0.09261157998118379,0.9552409560326838,0.9595881301142419
0.08757673712045831,0.09243166293988954,0.961192755766325,0.9577595546590799
0.0786930126138249,0.06339874453106317,0.9652273964990834,0.9729518809840484
0.07204448565388635,0.0587082403632477,0.9680923135463465,0.9739084479129049
0.0682318814319009,0.06458344618316024,0.9700326254256858,0.971118020628727
0.06481180532820256,0.06459282844471496,0.9714374011598585,0.9712025790312778
0.06303265235096894,0.06458021043150572,0.9720554823499568,0.9713470329689688
0.06144906561063429,0.06159936938281078,0.9729453582001959,0.9721979018946367
0.059687839399511756,0.0574839757331291,0.9736409512007788,0.9747187992706838
0.05878568778612154,0.057397879056994186,0.9741286716186983,0.973638918004774
0.05758465890436455,0.052136118926092365,0.9746722609389801,0.9776237327249826
0.05670199451758053,0.05754452429422342,0.9750326405253892,0.9735948771701122
0.0556953550173027,0.06212351799986498,0.9755344539997605,0.972802142146198
0.055453249485734345,0.04991786048120732,0.9754795917442876,0.9783706652808484
0.05434311069543574,0.049018885952179334,0.9760689834980375,0.9783301477129595
0.05354410688291798,0.05230295894222283,0.9764937884853689,0.9768521373017062
